Description,Chamber,Created date,Energy Policy Index,URL
"An Act amending the act of July 7, 1961 (P.L.518, No.268), known as the Delaware River Basin Compact, in organization and area, further providing for voting power.",House,2022-03-23,27.9273,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2450&pn=2871
"An Act amending the act of June 30, 1981 (P.L.128, No.43), known as the Agricultural Area Security Law, further providing for purchase of agricultural conservation easements and for Agricultural Conservation Easement Purchase Fund.",Senate,2022-05-24,26.8925,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1232&pn=1665
"An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, providing for regional greenhouse gas initiative tax credit.",House,2022-06-21,26.8361,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2698&pn=3280
"An Act amending the act of May 31, 1945 (P.L.1198, No.418), known as the Surface Mining Conservation and Reclamation Act, further providing for land reclamation financial guarantees; and making a repeal.",Senate,2023-01-19,26.0571,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0111&pn=0073
"An Act amending the act of May 31, 1945 (P.L.1198, No.418), known as the Surface Mining Conservation and Reclamation Act,  further providing for land reclamation financial guarantees; and making an inconsistent repeal.",Senate,2022-01-27,25.6901,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1038&pn=1359
An Act providing for the leasing of subsurface rights on State forest and park property for oil and natural gas development; making an appropriation; and abrogating an executive order and other orders and administrative policies.,House,2022-03-26,25.6398,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2461&pn=2883
An Act providing for carbon dioxide geologic sequestration primacy; and imposing duties on the Department of Environmental Protection.,Senate,2022-11-16,25.3585,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1361&pn=2016
An Act temporarily suspending the collection of taxes on liquid fuels and fuels for motor vehicles; and imposing duties on the Secretary of Revenue.,House,2022-03-24,25.1915,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2453&pn=2874
"An Act amending Title 65 (Public Officers) of the Pennsylvania Consolidated Statutes, in ethics standards and financial disclosure, further providing for restricted activities.",Senate,2022-01-26,25.0435,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1011&pn=1347
"An Act providing for Low-Income Home Energy Assistance Program eligibility, allocation of funds and resources; imposing duties on the Department of Human Services; and providing for compliance and fraud prevention procedures and for performance audit and allocation of appropriations.",House,2022-06-21,24.96,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2695&pn=3292
